username,repo_name,stars,repo_url
mrdoob,three.js,86900,https://github.com/mrdoob/three.js
libgdx,libgdx,20800,https://github.com/libgdx/libgdx
pmndrs,react-three-fiber,20300,https://github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,18800,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,15200,https://github.com/ssloy/tinyrenderer
aframevr,aframe,14700,https://github.com/aframevr/aframe
lettier,3d-game-shaders-for-beginners,14000,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,12600,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,9500,https://github.com/CesiumGS/cesium
metafizzy,zdog,9500,https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,8500,https://github.com/timzhang642/3D-Machine-Learning
isl-org,Open3D,7700,https://github.com/isl-org/Open3D
a1studmuffin,SpaceshipGenerator,7200,https://github.com/a1studmuffin/SpaceshipGenerator
blender,blender,7000,https://github.com/blender/blender
domlysz,BlenderGIS,5800,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,5200,https://github.com/FyroxEngine/Fyrox
openscad,openscad,5100,https://github.com/openscad/openscad
spritejs,spritejs,5000,https://github.com/spritejs/spritejs
google,model-viewer,5000,https://github.com/google/model-viewer
jagenjo,webglstudio.js,4800,https://github.com/jagenjo/webglstudio.js
