username,repo_name,stars,repo_url
jwasham,coding-interview-university,239000,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,159000,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,155000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,148000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,82200,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,58600,https://github.com/kdn251/interviews
azl397985856,leetcode,49800,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,48900,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,40500,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,33400,https://github.com/youngyangyang04/leetcode-master
halfrost,LeetCode-Go,28200,https://github.com/halfrost/LeetCode-Go
crossoverJie,JCSprout,26900,https://github.com/crossoverJie/JCSprout
huihut,interview,26600,https://github.com/huihut/interview
donnemartin,interactive-coding-challenges,26500,https://github.com/donnemartin/interactive-coding-challenges
TheAlgorithms,JavaScript,23700,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,22300,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,21800,https://github.com/keon/algorithms
trekhleb,homemade-machine-learning,20400,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,20200,https://github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,16700,https://github.com/AtsushiSakai/PythonRobotics
