username,repo_name,stars,repo_url
amphp,amp,3800,https://github.com/amphp/amp
danog,MadelineProto,2100,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,740,https://github.com/unreal4u/telegram-api
amphp,http-client,633,https://github.com/amphp/http-client
amphp,parallel,606,https://github.com/amphp/parallel
php-service-bus,service-bus,333,https://github.com/php-service-bus/service-bus
amphp,byte-stream,309,https://github.com/amphp/byte-stream
amphp,mysql,290,https://github.com/amphp/mysql
amphp,parallel-functions,234,https://github.com/amphp/parallel-functions
amphp,process,192,https://github.com/amphp/process
amphp,socket,171,https://github.com/amphp/socket
amphp,redis,132,https://github.com/amphp/redis
amphp,dns,125,https://github.com/amphp/dns
amphp,sync,120,https://github.com/amphp/sync
kelunik,acme,116,https://github.com/kelunik/acme
amphp,websocket-client,108,https://github.com/amphp/websocket-client
PeeHaa,mailgrab,91,https://github.com/PeeHaa/mailgrab
amphp,websocket-server,86,https://github.com/amphp/websocket-server
amphp,serialization,85,https://github.com/amphp/serialization
